name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
Devin Vassell,2020,11,5.5,2.8,0.9,0.406,0.347,0.843,17.0,0.4,12.3,4.3,1.9,0.427,0.361,0.838,27.3,0.8,16.3,4.0,2.9,0.443,0.368,0.792,31.0,1.4
Devonte' Graham,2018,34,4.7,1.4,2.6,0.343,0.281,0.761,14.7,0.7,18.2,3.4,7.5,0.382,0.373,0.82,35.1,2.9,5.3,1.4,2.2,0.368,0.347,0.746,15.3,0.5
Devyn Marble,2014,56,2.3,1.9,1.1,0.318,0.182,0.313,13.0,0.6,2.1,1.4,0.4,0.296,0.25,0.417,8.9,0.3,,,,,,,,
Deyonta Davis,2016,31,1.6,1.7,0.1,0.511,0.0,0.556,6.6,0.2,5.8,4.0,0.6,0.608,0.0,0.667,15.2,0.5,,,,,,,,
Dillon Brooks,2017,45,11.0,3.1,1.6,0.44,0.356,0.747,28.7,1.5,7.5,1.7,0.9,0.402,0.375,0.733,18.3,1.1,18.4,3.2,2.8,0.432,0.309,0.849,27.7,1.6
Dion Waiters,2012,4,14.7,2.4,3.0,0.412,0.31,0.746,28.8,2.0,15.9,2.8,3.0,0.433,0.368,0.685,29.6,2.2,15.8,3.3,4.3,0.424,0.395,0.646,30.1,2.2
Domantas Sabonis,2016,11,5.9,3.6,1.0,0.399,0.321,0.657,20.1,1.0,11.6,7.7,2.0,0.514,0.351,0.75,24.5,1.9,20.3,12.0,6.7,0.535,0.321,0.732,36.0,3.4
Donovan Mitchell,2017,13,20.5,3.7,3.7,0.437,0.34,0.805,33.4,2.7,23.8,4.1,4.2,0.432,0.362,0.806,33.7,2.8,25.9,4.2,5.3,0.448,0.355,0.853,33.8,3.0
Donte DiVincenzo,2018,17,4.9,2.4,1.1,0.403,0.265,0.75,15.2,0.7,9.2,4.8,2.3,0.455,0.336,0.733,23.0,1.4,9.4,4.5,3.5,0.435,0.397,0.817,26.3,1.6
Doug McDermott,2014,11,3.0,1.2,0.2,0.402,0.317,0.667,8.9,0.5,9.4,2.4,0.7,0.452,0.425,0.857,23.0,0.7,7.3,1.4,0.9,0.491,0.408,0.835,17.4,0.5
Dragan Bender,2016,4,3.4,2.4,0.5,0.354,0.277,0.364,13.3,0.7,6.5,4.4,1.6,0.386,0.366,0.765,25.2,1.4,,,,,,,,
Dwayne Bacon,2017,40,3.3,2.3,0.7,0.375,0.256,0.8,13.5,0.4,7.3,2.1,1.1,0.475,0.437,0.739,17.7,0.4,,,,,,,,
Dwight Powell,2014,45,1.8,0.2,0.0,0.8,0.0,0.5,1.8,0.4,5.8,4.0,0.6,0.493,0.125,0.739,14.4,0.6,10.6,5.3,1.5,0.597,0.307,0.772,21.6,0.9
Dylan Windler,2019,26,,,,,,,,,5.2,3.5,1.1,0.438,0.338,0.778,16.5,1.0,1.0,0.3,0.3,0.5,0.5,0.0,2.3,0.0
Dyson Daniels,2022,8,3.8,3.2,2.3,0.418,0.314,0.65,17.7,1.0,5.8,3.9,2.7,0.447,0.311,0.642,22.3,1.0,,,,,,,,
Dzanan Musa,2018,29,2.1,0.6,0.2,0.409,0.1,0.0,4.3,0.4,4.8,2.2,1.1,0.372,0.244,0.75,12.2,0.9,,,,,,,,
Edmond Sumner,2017,52,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.9,1.0,0.4,0.344,0.259,0.625,9.1,0.4,,,,,,,,
